,Comments,Ratings
0,"Contacted them through Yelp and the owner responded right away (though I missed the initial response since Yelp messaging is a bit out of the way).  Was able to book an appointment for the same day (great for us last minute planners!) and they also take walk-ins!  Quick check-in and friendly receptionists - they offered water or hot tea.  They offer a slew of other health and beauty treatments by licensed staff that I'll be interested in trying in the future.  Clean, tasteful, relaxing rooms, with cozy massage tables and super soft linens.  Alicia, my masseuse, listened to exactly what I needed from my massage and was amazing!!  Great for deep tissue and trigger points, also checked in routinely to make sure the pressure was just right.  I'll definitely go back!  Additionally, their location would make it great for walking the mall area after a nice relaxing spa experience.  Parking would be the only hassle I could maybe complain about - which isn't their fault, just part of downtown.  Parked at the mall which cost $18 for the 2 hours I was there - maybe have parking validation or a suggestion for less expensive parking options?",5.0
1,"I had an amazing massage yesterday! I have been dealing with a neck and shoulder injury and was in a lot of pain. I wanted a very relaxing experience but also some help releasing the level of pain I was in. Rachel did such an amazing job! This by far was the best massage I have had in a long time, let alone in Denver. She listened to exactly what I wanted and needed, and made me feel so much better and so relaxed. I left feeling so much better. She covered me in CBD and really helped me to feel like I was doing the right thing. The only thing I would recommend - being someone who LOVES a good massage and full relaxation it would say it would be amazing to add a heating pad (full length of the bed) under the sheets, as it was a little cold in the room with the air on and that would seal the deal and make this a full experience for me. Either way, I will 100% go back to Rachel, and I loved her so much I probably will get a membership so I can be consistent on getting my body back on track!Thanks for the great work!",5.0
2,"Was in town for a work conference and realized we were going to have a few spare hours that afternoon. A co-worker and I decided we desperately needed massages so I went straight to Yelp to find a spot.Fortunately not only was did you guys have openings to accommodate both of us but we're within walking distance of the hotel. Let me tell you, this was the best part of the whole conference!!Prior to our massages we both were complaining about how tight our shoulders were and that we both needed a deep massage. Well neither of us walked out disappointed! Both of us were raving that our massage therapist had to be better than the others because of the focus they paid to our problem areas. Not only that but they each gave us suggestions on what to do in our everyday lives to help alleviate future tension issues.The facility is also clean and the staff is very friendly.We both would highly recommend that anyone in the area, as well as anyone visiting from out of town, stop by if you ever need those kinks worked out. Oh, and they provide so many other services we wished we had time to take advantage of.",5.0
3,My husband and I had the best massage here! I'm picky and it was awesome!  It was the perfect amount of pressure and relaxation. We will absolutely be back!,5.0
4,"I've had a pinched nerve in my neck and serious back and shoulder pain for a few weeks and called and was able to book an appointment for the next day with Alicia (who was highly recommended for these types of injuries).  The receptionist was friendly and helpful and Alicia was excellent.  She was great for deep tissue and trigger points and by the end of the hour I had more mobility in my neck and shoulders than I'd had in a month.  Also, this is just a bit of 16th street so a great option for those of us that work in downtown Denver and need a lunch hour retreat.",5.0
5,Prenatal massage was great! Kate Lynne has strong firm grip. She didn't use too much oil and was able to maintain a firm pressure for the entire session. I would definitely come back here !! She would also be good if you needed sports massage. She had a great intuition and would stay on trigger points until they released!,5.0
6,Called and left a message requesting an appointment and they never bothered to call me back. Very disappointing...,1.0
7,"Had a massage here with my co-worker  since we where both feeling pretty tense and work across the st.  We called and the front desk person that answered was very nice and was able to get us in during our lunch hour.  According to my receipt the person that worked on me was named Danielle, she was awesome ! She made sure to check she wasn't hurting me or putting to much pressure. Best neck and upper back massage I have ever had !  Will defitnetley be doing back at least once a month. 100% recommend.",5.0
8,"Great place for a massage! Have started going almost weekly!  I like Lindsay for massages. She applies the amount of pressure you request and addresses the areas that you want massaged (some spa masseuses tend to follow their own routine, which can be frustrating). I plan to continue regular massages here.",5.0
9,This is my favorite spot in Denver for Massage and Esthetics. This spa is truly one of Denver's hidden gems. I see Lindsay for Massage and she is one of the best therapists I have ever seen. It's so refreshing to be taken care of by true professionals. I'm so glad someone recommended this spa to me.,5.0
