,word,Count
2364,"('get', 'last', 'minute', 'appointment')",2
4294,"('used', 'wipe', 'facial', 'products')",2
4840,"('unrelaxing', 'day', 'spa', 'called')",2
4459,"('great', 'deep', 'tissue', 'trigger')",2
581,"('able', 'get', 'last', 'minute')",2
1080,"('deep', 'tissue', 'trigger', 'points')",2
637,"('wrap', 'time', 'fair', 'enough')",2
5514,"('awkward', 'unrelaxing', 'day', 'spa')",2
185,"('room', 'wrapped', 'body', 'wrap')",2
4562,"('want', 'extremely', 'unprofessional', 'awkward')",2
