,car,price,body,mileage,engType,registration,year,years since
1,Mercedes-Benz,20500.0,sedan,173,Gas,yes,2011,5
2,Mercedes-Benz,35000.0,other,135,Petrol,yes,2008,8
3,Mercedes-Benz,17800.0,van,162,Diesel,yes,2012,4
4,Mercedes-Benz,33000.0,vagon,91,Other,yes,2013,3
8,Mercedes-Benz,21500.0,sedan,146,Gas,yes,2012,4
9,Mercedes-Benz,22700.0,sedan,125,Diesel,yes,2010,6
11,Mercedes-Benz,20400.0,sedan,190,Gas,yes,2011,5
12,Mercedes-Benz,22500.0,sedan,164,Gas,yes,2012,4
13,BMW,4700.0,sedan,200,Petrol,yes,1996,20
14,Mercedes-Benz,21500.0,sedan,159,Gas,yes,2012,4
15,BMW,19999.0,sedan,290,Petrol,yes,2006,10
16,BMW,129222.0,sedan,2,Petrol,yes,2016,0
17,Mercedes-Benz,99999.0,crossover,0,Petrol,yes,2016,0
19,BMW,73900.0,sedan,57,Petrol,yes,2013,3
22,BMW,104999.0,crossover,2,Diesel,yes,2016,0
23,BMW,66500.0,crossover,1,Diesel,yes,2016,0
24,BMW,65099.0,crossover,0,Diesel,yes,2016,0
25,BMW,23900.0,crossover,235,Diesel,yes,2007,9
26,Mercedes-Benz,69999.0,crossover,0,Diesel,yes,2016,0
27,BMW,66200.0,crossover,70,Diesel,yes,2014,2
28,BMW,63000.0,crossover,0,Diesel,yes,2015,1
29,Mercedes-Benz,105999.0,crossover,0,Diesel,yes,2016,0
32,Volkswagen,10700.0,sedan,147,Petrol,yes,2007,9
35,Volkswagen,8999.0,sedan,120,Petrol,yes,2008,8
39,Mercedes-Benz,200000.0,van,19,Petrol,yes,2013,3
42,Mercedes-Benz,20400.0,sedan,190,Gas,yes,2011,5
43,BMW,1900.0,sedan,300,Diesel,no,1997,19
44,BMW,39333.0,sedan,6,Petrol,yes,2016,0
45,Mercedes-Benz,99999.0,crossover,0,Diesel,yes,2016,0
46,Mercedes-Benz,70999.0,crossover,0,Diesel,yes,2016,0
47,BMW,63500.0,crossover,1,Diesel,yes,2016,0
48,BMW,59900.0,crossover,30,Diesel,yes,2016,0
51,Mercedes-Benz,14490.0,vagon,212,Diesel,yes,2008,8
52,Mercedes-Benz,31500.0,sedan,123,Diesel,yes,2011,5
54,Volkswagen,8999.0,sedan,120,Diesel,yes,2007,9
62,Volkswagen,2400.0,vagon,320,Diesel,no,2000,16
63,Volkswagen,2350.0,sedan,300,Diesel,no,1998,18
65,Mercedes-Benz,104999.0,crossover,1,Diesel,yes,2016,0
66,Toyota,195000.0,crossover,0,Diesel,yes,2016,0
72,Toyota,102999.0,crossover,0,Diesel,yes,2016,0
75,Toyota,103999.0,crossover,0,Diesel,yes,2016,0
81,Toyota,80000.0,crossover,23,Diesel,yes,2014,2
82,BMW,8500.0,sedan,260,Gas,yes,2001,15
83,Mercedes-Benz,7000.0,van,197,Diesel,yes,2002,14
85,Mercedes-Benz,9500.0,van,280,Diesel,yes,2005,11
86,Toyota,103999.0,crossover,0,Diesel,yes,2016,0
87,Toyota,100000.0,crossover,0,Diesel,yes,2016,0
88,Mercedes-Benz,16500.0,other,107,Diesel,yes,2010,6
89,Toyota,15500.0,sedan,120,Petrol,yes,2008,8
91,Mercedes-Benz,10999.0,van,191,Diesel,yes,2007,9
95,Mercedes-Benz,16500.0,van,223,Diesel,yes,2009,7
96,Volkswagen,17900.0,crossover,145,Diesel,yes,2007,9
98,Mercedes-Benz,20400.0,sedan,190,Gas,yes,2011,5
99,Volkswagen,20000.0,crossover,115,Diesel,yes,2008,8
100,BMW,21000.0,sedan,186,Petrol,yes,2007,9
103,Volkswagen,10000.0,van,231,Diesel,yes,2005,11
104,Volkswagen,37990.0,crossover,140,Diesel,yes,2012,4
106,BMW,3900.0,vagon,240,Diesel,no,2001,15
107,Volkswagen,33500.0,crossover,98,Petrol,yes,2013,3
110,Mercedes-Benz,6200.0,sedan,221,Gas,yes,2004,12
113,Mercedes-Benz,20300.0,sedan,198,Gas,yes,2011,5
115,Toyota,73900.0,crossover,1,Diesel,yes,2016,0
116,Toyota,30500.0,crossover,40,Petrol,yes,2011,5
117,Toyota,30800.0,crossover,56,Gas,yes,2011,5
118,Toyota,25500.0,crossover,200,Petrol,yes,2007,9
119,Mercedes-Benz,29500.0,sedan,37,Petrol,yes,2012,4
122,Toyota,99999.0,crossover,0,Petrol,yes,2016,0
123,Mercedes-Benz,107999.0,crossover,0,Diesel,yes,2016,0
126,Toyota,74999.0,crossover,1,Diesel,yes,2016,0
128,BMW,2850.0,sedan,214,Petrol,no,2000,16
129,Volkswagen,3250.0,sedan,255,Diesel,no,2003,13
130,Volkswagen,16900.0,crossover,133,Diesel,yes,2007,9
131,Toyota,99999.0,crossover,0,Diesel,yes,2016,0
133,Toyota,23400.0,crossover,120,Petrol,yes,2007,9
135,Toyota,37700.0,crossover,62,Diesel,yes,2013,3
137,Mercedes-Benz,93555.0,crossover,0,Other,yes,2016,0
138,Volkswagen,30000.0,sedan,67,Diesel,yes,2013,3
141,Mercedes-Benz,107777.0,crossover,0,Diesel,yes,2016,0
144,Mercedes-Benz,109999.0,crossover,0,Diesel,yes,2016,0
146,Mercedes-Benz,43500.0,other,51,Diesel,yes,2014,2
147,Volkswagen,18700.0,other,145,Diesel,yes,2011,5
149,BMW,6350.0,crossover,156,Gas,no,2002,14
151,BMW,25500.0,other,163,Petrol,yes,2008,8
155,Volkswagen,14499.0,van,164,Diesel,yes,2013,3
159,Mercedes-Benz,71999.0,crossover,0,Diesel,yes,2016,0
162,Volkswagen,18900.0,other,45,Diesel,yes,2013,3
163,Mercedes-Benz,17900.0,van,167,Diesel,yes,2012,4
164,BMW,67500.0,crossover,1,Diesel,yes,2016,0
165,BMW,67500.0,crossover,1,Diesel,yes,2016,0
168,Toyota,14700.0,sedan,139,Petrol,yes,2008,8
173,BMW,37200.0,other,115,Diesel,yes,2011,5
176,Mercedes-Benz,17500.0,van,220,Diesel,yes,2012,4
177,Toyota,24000.0,sedan,16,Petrol,yes,2013,3
182,Mercedes-Benz,2400.0,sedan,3,Diesel,yes,1998,18
183,Toyota,195000.0,crossover,0,Diesel,yes,2016,0
186,Mercedes-Benz,114999.0,crossover,0,Diesel,yes,2016,0
187,Mercedes-Benz,103333.0,crossover,0,Diesel,yes,2016,0
189,Toyota,20800.0,crossover,107,Petrol,yes,2006,10
190,BMW,24500.0,crossover,170,Gas,yes,2007,9
191,Toyota,12300.0,sedan,157,Gas,yes,2007,9
192,Mercedes-Benz,20500.0,sedan,173,Gas,yes,2011,5
193,BMW,11500.0,sedan,193,Petrol,yes,2000,16
194,Mercedes-Benz,13200.0,van,182,Diesel,yes,2011,5
195,BMW,29900.0,crossover,235,Diesel,yes,2009,7
196,Mercedes-Benz,12500.0,van,167,Diesel,yes,2013,3
202,Toyota,14300.0,sedan,71,Petrol,yes,2008,8
208,Mercedes-Benz,9200.0,other,280,Petrol,yes,2003,13
211,Mercedes-Benz,38200.0,sedan,39,Petrol,yes,2015,1
214,Mercedes-Benz,125000.0,sedan,18,Diesel,yes,2015,1
218,Toyota,9000.0,sedan,232,Petrol,yes,2005,11
222,Toyota,13900.0,sedan,139,Other,yes,2008,8
225,Mercedes-Benz,6200.0,other,340,Gas,yes,1998,18
226,BMW,66900.0,crossover,70,Diesel,yes,2014,2
227,BMW,104999.0,crossover,2,Diesel,yes,2016,0
228,Mercedes-Benz,38600.0,other,12,Petrol,yes,2012,4
230,Mercedes-Benz,37500.0,other,94,Petrol,yes,2009,7
234,Mercedes-Benz,24999.0,sedan,112,Diesel,yes,2012,4
235,Toyota,11300.0,hatch,87,Petrol,yes,2009,7
250,BMW,28000.0,sedan,170,Diesel,yes,2011,5
253,Toyota,24171.42,sedan,1,Petrol,yes,2016,0
255,Mercedes-Benz,20300.0,sedan,198,Gas,yes,2011,5
257,Volkswagen,9900.0,sedan,80,Petrol,yes,2011,5
258,Mercedes-Benz,110000.0,crossover,0,Diesel,yes,2016,0
262,Volkswagen,7000.0,van,345,Diesel,yes,2006,10
263,VAZ,3600.0,other,80,Gas,yes,2002,14
268,Volkswagen,12199.0,vagon,149,Diesel,yes,2008,8
271,Toyota,24800.0,sedan,43,Gas,yes,2015,1
286,Volkswagen,16500.0,sedan,123,Petrol,yes,2010,6
288,Mercedes-Benz,111999.0,crossover,0,Diesel,yes,2016,0
292,Toyota,75500.0,crossover,50,Petrol,yes,2015,1
293,Mercedes-Benz,55000.0,crossover,40,Petrol,yes,2013,3
304,VAZ,4100.0,hatch,60,Petrol,yes,2013,3
306,BMW,30500.0,sedan,73,Petrol,yes,2013,3
307,Volkswagen,10700.0,sedan,195,Petrol,yes,2007,9
312,Toyota,59900.0,crossover,90,Diesel,yes,2012,4
314,Volkswagen,7300.0,van,240,Diesel,yes,2005,11
315,Mercedes-Benz,24800.0,other,160,Diesel,yes,2007,9
325,BMW,89999.0,crossover,17,Petrol,yes,2015,1
330,Volkswagen,8800.0,van,93,Diesel,yes,2012,4
331,BMW,8500.0,sedan,284,Gas,yes,2000,16
332,Toyota,25900.0,crossover,97,Petrol,yes,2009,7
334,Toyota,36000.0,crossover,940,Other,yes,2009,7
336,BMW,2550.0,sedan,280,Petrol,no,2000,16
340,Mercedes-Benz,12600.0,sedan,123,Petrol,yes,2000,16
343,Mercedes-Benz,8200.0,sedan,280,Gas,yes,1997,19
348,Toyota,28700.0,crossover,100,Petrol,yes,2012,4
352,Volkswagen,8900.0,van,272,Diesel,yes,2005,11
354,Volkswagen,4500.0,van,380,Diesel,yes,2004,12
357,Mercedes-Benz,9900.0,sedan,275,Other,yes,2005,11
