car,price,body,mileage,engType,registration,year,years since
Ford,15500,crossover,68,Gas,yes,2010,6
Mercedes-Benz,20500,sedan,173,Gas,yes,2011,5
Mercedes-Benz,35000,other,135,Petrol,yes,2008,8
Mercedes-Benz,17800,van,162,Diesel,yes,2012,4
Mercedes-Benz,33000,vagon,91,Other,yes,2013,3
Nissan,16600,crossover,83,Petrol,yes,2013,3
Honda,6500,sedan,199,Petrol,yes,2003,13
Renault,10500,vagon,185,Diesel,yes,2011,5
Mercedes-Benz,21500,sedan,146,Gas,yes,2012,4
Mercedes-Benz,22700,sedan,125,Diesel,yes,2010,6
Nissan,20447.154,crossover,0,Petrol,yes,2016,0
Mercedes-Benz,20400,sedan,190,Gas,yes,2011,5
Mercedes-Benz,22500,sedan,164,Gas,yes,2012,4
BMW,4700,sedan,200,Petrol,yes,1996,20
Mercedes-Benz,21500,sedan,159,Gas,yes,2012,4
BMW,19999,sedan,290,Petrol,yes,2006,10
BMW,129222,sedan,2,Petrol,yes,2016,0
Mercedes-Benz,99999,crossover,0,Petrol,yes,2016,0
Nissan,16600,crossover,83,Petrol,yes,2013,3
BMW,73900,sedan,57,Petrol,yes,2013,3
Land Rover,0,crossover,0,Diesel,yes,2016,0
Nissan,26033.553,crossover,0,Diesel,yes,2016,0
BMW,104999,crossover,2,Diesel,yes,2016,0
BMW,66500,crossover,1,Diesel,yes,2016,0
BMW,65099,crossover,0,Diesel,yes,2016,0
BMW,23900,crossover,235,Diesel,yes,2007,9
Mercedes-Benz,69999,crossover,0,Diesel,yes,2016,0
BMW,66200,crossover,70,Diesel,yes,2014,2
BMW,63000,crossover,0,Diesel,yes,2015,1
Mercedes-Benz,105999,crossover,0,Diesel,yes,2016,0
Nissan,13980,hatch,31,Other,yes,2013,3
Nissan,17300,hatch,24,Other,yes,2013,3
Volkswagen,10700,sedan,147,Petrol,yes,2007,9
Audi,2600,vagon,273,Diesel,no,1999,17
Chrysler,13700,sedan,70,Petrol,yes,2008,8
Volkswagen,8999,sedan,120,Petrol,yes,2008,8
Jaguar,18777,sedan,82,Petrol,yes,2008,8
Audi,2850,sedan,260,Other,no,1999,17
Audi,37000,sedan,37,Petrol,yes,2012,4
Mercedes-Benz,2.00E+05,van,19,Petrol,yes,2013,3
Audi,3850,vagon,215,Diesel,no,2002,14
Nissan,13275,hatch,12,Other,yes,2013,3
Mercedes-Benz,20400,sedan,190,Gas,yes,2011,5
BMW,1900,sedan,300,Diesel,no,1997,19
BMW,39333,sedan,6,Petrol,yes,2016,0
Mercedes-Benz,99999,crossover,0,Diesel,yes,2016,0
Mercedes-Benz,70999,crossover,0,Diesel,yes,2016,0
BMW,63500,crossover,1,Diesel,yes,2016,0
BMW,59900,crossover,30,Diesel,yes,2016,0
Mitsubishi,9200,crossover,110,Petrol,yes,2006,10
Nissan,20241.897,crossover,0,Petrol,yes,2015,1
Mercedes-Benz,14490,vagon,212,Diesel,yes,2008,8
Mercedes-Benz,31500,sedan,123,Diesel,yes,2011,5
Mercedes-Benz,0,crossover,0,Diesel,yes,2016,0
Volkswagen,8999,sedan,120,Diesel,yes,2007,9
Audi,3650,sedan,240,Diesel,no,2000,16
Nissan,17000,hatch,38,Other,yes,2013,3
Mitsubishi,12000,sedan,121,Gas,yes,2009,7
Kia,20633.886,crossover,0,Diesel,yes,2016,0
Porsche,55000,crossover,105,Diesel,yes,2012,4
Kia,18000,crossover,64,Diesel,yes,2011,5
Kia,21700,crossover,58,Diesel,yes,2012,4
Volkswagen,2400,vagon,320,Diesel,no,2000,16
Volkswagen,2350,sedan,300,Diesel,no,1998,18
Honda,18600,vagon,98,Gas,yes,2011,5
Mercedes-Benz,104999,crossover,1,Diesel,yes,2016,0
Toyota,195000,crossover,0,Diesel,yes,2016,0
Porsche,49900,crossover,73,Diesel,yes,2011,5
Porsche,50900,crossover,53,Petrol,yes,2013,3
Porsche,99999,crossover,1,Diesel,yes,2016,0
Mercedes-Benz,0,crossover,0,Diesel,yes,2016,0
Toyota,0,crossover,0,Diesel,yes,2016,0
Toyota,102999,crossover,0,Diesel,yes,2016,0
Audi,35900,crossover,143,Diesel,yes,2010,6
Honda,16500,sedan,147,Petrol,yes,2009,7
Toyota,103999,crossover,0,Diesel,yes,2016,0
Porsche,114900,crossover,25,Petrol,yes,2013,3
Porsche,26500,crossover,160,Petrol,yes,2008,8
Mitsubishi,12999,crossover,140,Gas,yes,2007,9
Honda,30000,sedan,52,Gas,yes,2014,2
Porsche,26900,crossover,135,Petrol,yes,2008,8
Toyota,80000,crossover,23,Diesel,yes,2014,2
BMW,8500,sedan,260,Gas,yes,2001,15
Mercedes-Benz,7000,van,197,Diesel,yes,2002,14
Audi,36000,crossover,145,Petrol,yes,2010,6
Mercedes-Benz,9500,van,280,Diesel,yes,2005,11
Toyota,103999,crossover,0,Diesel,yes,2016,0
Toyota,1.00E+05,crossover,0,Diesel,yes,2016,0
Mercedes-Benz,16500,other,107,Diesel,yes,2010,6
Toyota,15500,sedan,120,Petrol,yes,2008,8
Porsche,0,sedan,22,Petrol,yes,2014,2
Mercedes-Benz,10999,van,191,Diesel,yes,2007,9
Audi,0,crossover,0,Diesel,yes,2015,1
Audi,88888,crossover,0,Diesel,yes,2015,1
Toyota,0,crossover,49,Diesel,yes,2014,2
Mercedes-Benz,16500,van,223,Diesel,yes,2009,7
Volkswagen,17900,crossover,145,Diesel,yes,2007,9
Volkswagen,0,van,165,Diesel,yes,2013,3
Mercedes-Benz,20400,sedan,190,Gas,yes,2011,5
Volkswagen,20000,crossover,115,Diesel,yes,2008,8
BMW,21000,sedan,186,Petrol,yes,2007,9
Hyundai,11800,sedan,65,Petrol,yes,2013,3
Mercedes-Benz,0,van,450,Diesel,yes,2000,16
Volkswagen,10000,van,231,Diesel,yes,2005,11
Volkswagen,37990,crossover,140,Diesel,yes,2012,4
Porsche,0,crossover,0,Diesel,yes,2016,0
BMW,3900,vagon,240,Diesel,no,2001,15
Volkswagen,33500,crossover,98,Petrol,yes,2013,3
Hyundai,9700,sedan,54,Petrol,yes,2013,3
Nissan,12400,hatch,26,Other,yes,2011,5
Mercedes-Benz,6200,sedan,221,Gas,yes,2004,12
Renault,10500,vagon,185,Diesel,yes,2011,5
Hyundai,6900,crossover,105,Petrol,yes,2009,7
Mercedes-Benz,20300,sedan,198,Gas,yes,2011,5
Audi,18500,crossover,185,Petrol,yes,2008,8
Toyota,73900,crossover,1,Diesel,yes,2016,0
Toyota,30500,crossover,40,Petrol,yes,2011,5
Toyota,30800,crossover,56,Gas,yes,2011,5
Toyota,25500,crossover,200,Petrol,yes,2007,9
Mercedes-Benz,29500,sedan,37,Petrol,yes,2012,4
Opel,3550,vagon,231,Diesel,no,2005,11
Volkswagen,0,van,162,Diesel,yes,2011,5
Toyota,99999,crossover,0,Petrol,yes,2016,0
Mercedes-Benz,107999,crossover,0,Diesel,yes,2016,0
BMW,0,crossover,1,Diesel,yes,2014,2
BMW,0,crossover,0,Diesel,yes,2015,1
Toyota,74999,crossover,1,Diesel,yes,2016,0
Audi,34000,crossover,118,Diesel,yes,2013,3
BMW,2850,sedan,214,Petrol,no,2000,16
Volkswagen,3250,sedan,255,Diesel,no,2003,13
Volkswagen,16900,crossover,133,Diesel,yes,2007,9
Toyota,99999,crossover,0,Diesel,yes,2016,0
Chevrolet,6800,sedan,106,Petrol,yes,2007,9
Toyota,23400,crossover,120,Petrol,yes,2007,9
Skoda,17900,sedan,65,Petrol,yes,2013,3
Toyota,37700,crossover,62,Diesel,yes,2013,3
Land Rover,29500,crossover,50,Diesel,yes,2008,8
Mercedes-Benz,93555,crossover,0,Other,yes,2016,0
Volkswagen,30000,sedan,67,Diesel,yes,2013,3
Mitsubishi,7999,sedan,112,Petrol,yes,2008,8
Land Rover,43500,crossover,54,Petrol,yes,2012,4
Mercedes-Benz,107777,crossover,0,Diesel,yes,2016,0
Mitsubishi,8400,sedan,91,Petrol,yes,2009,7
Land Rover,40000,vagon,52,Diesel,yes,2013,3
Mercedes-Benz,109999,crossover,0,Diesel,yes,2016,0
Opel,2780,sedan,254,Diesel,yes,2003,13
Mercedes-Benz,43500,other,51,Diesel,yes,2014,2
Volkswagen,18700,other,145,Diesel,yes,2011,5
Chevrolet,7800,sedan,85,Gas,yes,2012,4
BMW,6350,crossover,156,Gas,no,2002,14
Daewoo,3500,sedan,112,Petrol,yes,2007,9
BMW,25500,other,163,Petrol,yes,2008,8
Land Rover,53500,crossover,69,Diesel,yes,2012,4
Nissan,15999,crossover,59,Petrol,yes,2011,5
Nissan,17700,crossover,40,Petrol,yes,2014,2
Volkswagen,14499,van,164,Diesel,yes,2013,3
Daewoo,4300,sedan,70,Petrol,yes,2007,9
